sex,age,height,weight,team,year,season,sport,medaled
0,23,177,75,Turkmenistan,2016,Summer,Boxing,FALSE
0,21,172,67,Japan,2016,Summer,Water Polo,FALSE
0,20,202,105,Romania,2016,Summer,Rowing,FALSE
1,23,162,54,Germany,2016,Summer,Trampolining,FALSE
0,27,180,79,Saint Kitts and Nevis,2016,Summer,Athletics,FALSE
0,27,180,79,Saint Kitts and Nevis,2016,Summer,Athletics,FALSE
0,27,180,79,Saint Kitts and Nevis,2016,Summer,Athletics,FALSE
1,24,173,65,United States,2016,Summer,Swimming,FALSE
0,29,178,64,Australia,2016,Summer,Athletics,FALSE
1,26,174,73,Germany,2016,Summer,Rowing,FALSE
1,33,164,51,Great Britain,2016,Summer,Boxing,TRUE
0,24,185,98,Australia,2016,Summer,Shooting,FALSE
1,26,188,81,United States,2016,Summer,Volleyball,TRUE
1,31,193,120,New Zealand,2016,Summer,Athletics,TRUE
1,24,180,75,Turkey,2016,Summer,Wrestling,FALSE
0,27,183,80,Great Britain,2016,Summer,Badminton,FALSE
1,25,167,NA,Great Britain,2016,Summer,Badminton,FALSE
0,29,162,92,Kenya,2016,Summer,Weightlifting,FALSE
1,23,166,63,Bahrain,2016,Summer,Athletics,FALSE
1,22,169,53,Nigeria,2016,Summer,Wrestling,FALSE
0,22,168,58,Eritrea,2016,Summer,Athletics,FALSE
0,28,177,85,Kenya,2016,Summer,Rugby Sevens,FALSE
1,23,165,58,Nigeria,2016,Summer,Wrestling,FALSE
1,29,187,65,Brazil,2016,Summer,Volleyball,FALSE
1,30,NA,NA,Uganda,2016,Summer,Athletics,FALSE
1,16,168,58,Egypt,2016,Summer,Modern Pentathlon,FALSE
1,23,165,65,Mongolia,2016,Summer,Judo,FALSE
0,22,188,80,United States,2016,Summer,Athletics,FALSE
0,22,204,100,Lithuania,2016,Summer,Rowing,FALSE
0,27,198,100,United States,2016,Summer,Swimming,TRUE
0,27,198,100,United States,2016,Summer,Swimming,TRUE
0,27,198,100,United States,2016,Summer,Swimming,TRUE
0,27,198,100,United States,2016,Summer,Swimming,TRUE
1,22,168,57,Namibia,2016,Summer,Cycling,FALSE
1,37,170,65,Brazil,2016,Summer,Basketball,FALSE
0,25,190,80,Kyrgyzstan,2016,Summer,Boxing,FALSE
0,23,191,86,Belgium,2016,Summer,Swimming,FALSE
0,23,191,86,Belgium,2016,Summer,Swimming,FALSE
0,19,175,68,Puerto Rico,2016,Summer,Table Tennis,FALSE
