id,PCOMP,APPEAR,PARENT,TEACH,MATE,FRIEND,MOTIV,GSW,PSW,AFFECT
1091,2.25,2,3.6,2.6,3.4,4,2.6,2.5,2,3.33
1092,3.5,3.75,3.8,3.8,3.8,4,3.4,4,3.8,3
1093,3,2.25,3.4,3.2,3.4,3,3.2,2.75,2.4,3.67
1094,2.25,1.75,3.4,3,2.8,4,2.4,2.5,2.6,3
1095,3.25,3.75,3,3.8,3.8,4,3.8,3.75,3.4,2.67
1096,3,2,2.6,2.8,2.2,2.8,2.6,3,3,2.67
1097,2.5,2.5,2.2,2.8,2.6,2.4,2.8,2.75,3,2.33
1098,2.5,2.5,2.8,2.6,2.4,2.6,2.4,3,2.8,3
1099,1.5,1.5,3.8,3.2,3,4,3,2.5,2.4,1
1100,1,1.5,1.8,2.2,2.4,2.8,1.4,2,2.2,1
1101,2.5,4,2.8,3,3,3,2.8,4,3,3
1102,2.5,2.25,3,2.4,3.4,2.8,2.4,2.5,2.4,2.67
1103,1.5,1.25,3.2,4,2.4,3.2,2,1,1,1.67
1104,4,4,3.6,3.4,4,4,2.6,4,4,3.33
1105,3.75,3.25,4,3.4,3.4,3,2.4,4,3.6,4
1106,4,4,4,3.2,3.8,3.4,3.8,4,4,4
1107,2.25,3.25,3.2,3,2.6,4,2.8,3.75,2.4,2
1108,2.75,3.5,4,2.6,3.4,4,3.4,3.75,4,2.67
1109,3,3,3.2,2.8,3,3,2.2,3,3,2.67
1110,3,3,2.6,2.2,3,3,1.8,3,3,3
1111,1.75,2.5,2.8,2.8,2.8,3,2.6,2.75,3,2
1112,3.75,4,4,3.6,3.2,3.2,2.8,4,4,3.67
1113,1.75,3,3.8,3.6,2.8,3.2,2.8,2.75,2,3
1114,3,3.25,4,4,4,4,4,4,3,3.33
1115,1.5,3,3.6,3.6,3,3.6,2.6,4,3.6,3
1117,3,2.5,2.8,3.8,3.4,3.8,3,3,2.8,2.67
1118,2,3,3.4,4,4,4,3.4,3.75,3.2,2.33
1119,1.25,2.75,4,3.8,3.4,4,2.6,3.25,3,1.33
1120,4,2.5,4,2.2,4,4,3.6,4,3.4,4
1121,1.75,1.5,3.2,2.8,3.4,3.2,2.2,1.5,2,1.67
1122,3.75,3.75,2.4,2.8,3.8,3,2.2,4,3.8,4
1123,3.5,3.75,4,4,2.6,3.8,2.4,3.5,3.4,3.67
1124,3.5,3,3.8,3,3.2,4,3.8,3.5,3.6,3.33
1125,2,2.25,2.8,2.6,3,4,2.2,3.75,2.2,1.67
1126,2.25,2.25,2.8,2.8,3.2,3.8,2.4,3.25,2.4,2.33
1127,3,2.5,3.2,2.8,3.2,2.8,3,3,3,3.67
1128,3.25,3.5,3.8,3,3.8,4,3.4,4,3.6,4
