id,pc1,pc2,pc3,pc4,mot1,mot2,mot3,mot4,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,pc1_2,pc2_2,pc3_2,pc4_2,mot1_2,mot2_2,mot3_2,mot4_2,mot5_2,pc1_3,pc2_3,pc3_3,pc4_3,mot1_3,mot2_3,mot3_3,mot4_3,mot5_3,pc1_4,pc2_4,pc3_4,pc4_4,mot1_4,mot2_4,mot3_4,mot4_4,mot5_4,male,female
1101,2.5,.,2.75,2.75,2.8,.,2.6,2.6,3,2,3,2,3,2,3,3,3,.,.,.,.,.,.,.,.,.,3,3,3,2,3,2,3,2,3,3,3,3,2,3,2,3,2,3,1,0
1102,2.5,2.5,.,.,2.4,2.4,.,.,2,2,3,3,3,3,2,2,2,3,3,2,2,3,1,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
1103,1.5,1.75,1.5,1.75,2,3,2.4,2.6,2,1,1,2,3,1,1,1,4,2,2,2,1,4,3,3,2,3,2,1,2,1,3,2,3,2,2,2,1,1,3,3,2,3,2,3,0,1
1104,4,3.5,4,4,2.6,2.4,2.2,3.2,4,4,4,4,3,1,3,4,2,4,4,3,3,3,1,2,3,3,4,4,4,4,4,1,3,2,1,4,4,4,4,4,1,3,4,4,1,0
1105,3.75,2.75,2,.,2.4,3.4,2.6,.,4,4,4,3,3,1,3,1,4,4,2,3,2,3,3,4,3,4,2,1,2,3,3,4,2,1,3,.,.,.,.,.,.,.,.,.,1,0
1106,4,4,4,4,3.8,3.6,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0
1107,2.25,2.25,2.25,.,2.8,3,2.8,.,3,2,2,2,3,2,3,3,3,3,3,2,1,3,2,3,3,4,2,2,3,2,3,2,3,3,3,.,.,.,.,.,.,.,.,.,1,0
1108,2.75,3.25,3.5,3.5,3.4,3.6,4,3.8,3,3,3,2,4,1,4,4,4,3,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,1,0
1109,3,3,2.75,3.25,2.2,2.2,2.6,2.6,3,3,3,3,3,2,2,1,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,2,2,3,3,3,3,3,4,3,2,4,2,2,1,0
1110,3,3,3.75,3.25,1.8,2.2,3,2.4,4,3,2,3,4,2,1,1,1,1,3,4,4,1,2,3,3,2,4,4,4,3,3,2,4,2,4,3,4,4,2,3,2,1,2,4,1,0
1111,1.75,.,2,2,2.6,2.2,2.2,3.2,2,2,2,1,3,2,2,3,3,.,.,.,.,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,4,3,0,1
1112,3.75,3.25,3.25,3.25,2.8,3,3,3,4,4,3,4,4,1,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,4,4,3,3,3,2,0,1
1113,1.75,1.75,2,1.75,2.8,2.8,2.4,2.6,2,1,2,2,3,2,3,3,3,2,2,2,1,3,2,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,1,3,2,3,3,2,0,1
1114,3,3.25,4,3.5,4,3.8,3.4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,1,0
1115,1.5,2,2,2.25,2.6,3,2.6,2.6,2,2,1,1,3,1,3,3,3,2,3,2,1,3,3,3,3,3,2,2,2,2,3,1,3,3,3,2,3,2,2,3,1,3,3,3,0,1
1116,3,2.25,2.75,3,3,2.4,2.8,2.4,3,3,3,3,4,2,4,4,1,2,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,4,3,3,2,2,2,1,0
1118,2,3,3.5,3.25,3.4,3.2,3,2.8,1,2,2,3,4,2,4,3,4,4,2,3,3,4,1,4,3,4,4,3,3,4,4,1,4,2,4,3,3,3,4,3,2,4,2,3,1,0
1119,1.25,1.25,1.5,1.75,2.6,2.4,3,2.8,1,1,1,2,3,1,3,3,3,2,1,1,1,3,1,3,2,3,2,1,2,1,4,1,4,3,3,2,1,2,2,3,1,3,4,3,0,1
1120,4,4,.,.,3.6,3.6,.,.,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1121,1.75,2,2,2,2.2,2.8,2.4,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,4,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,0,1
1122,3.75,.,.,2.5,2.2,.,.,2.6,4,4,4,3,4,1,1,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,3,3,4,2,2,3,2,1,0
1123,3.5,2.75,.,2.5,2.4,2.2,.,2.6,4,2,4,4,3,2,2,2,3,3,3,2,3,4,1,2,2,2,.,.,.,.,.,.,.,.,.,2,3,2,3,3,2,3,3,2,1,0
1124,3.5,3,3,3.25,3.8,4,3.8,3.8,4,3,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,3,4,3,3,3,4,4,4,4,3,4,0,1
1125,2,3,2.5,2.5,2.2,2.2,2.8,2.2,1,1,2,4,3,1,2,3,2,3,3,3,3,2,1,3,4,1,3,2,3,2,4,1,2,4,3,3,2,2,3,1,1,3,4,2,0,1
1126,2.25,3.5,2,.,2.4,3.2,2.6,.,2,2,2,3,2,2,3,2,3,4,4,4,2,4,2,4,2,4,2,2,2,2,2,2,3,4,2,.,.,.,.,.,.,.,.,.,0,1
1127,3,2.75,2.75,3,3,2.8,2.8,2.6,3,3,3,3,4,3,2,3,3,3,3,2,3,4,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,2,2,2,3,1,0
