id,e,n,c,a,o,pa,na,ls,fave_animal
102,2.2,2.1,3.7,3.85,4.3,16,11,5.8,dog
103,3.8,2.25,4,4.3,3.85,37,16,5.2,dog
104,3.35,3.2,3.2,3.55,4.45,39,18,5.8,cat
105,3.25,1.9,3.7,3.95,4.4,15,10,5,dog
106,2.95,3.15,2.55,3.8,4.3,32,11,7,cat
107,3.7,4.35,3.8,4.5,3.25,35,10,2.4,dog
108,3.55,2.05,3.55,3.15,3.6,30,10,6,other
109,3.95,2.05,3.85,3.95,4,40,10,5.6,cat
110,3.25,2.9,3.75,3.8,3.95,40,25,6,dog
111,3.3,2.45,3.6,2.55,3.6,10,10,2.8,dog
112,3.4,2.05,3.45,3.9,4.05,38,16,5.4,cat
113,3.6,2.3,3.45,2.75,3.8,50,10,7,dog
114,3.3,2.95,3.75,3.65,3.95,24,11,5,cat
115,3.5,2.75,3.5,NA,4.2,28,10,1.8,cat
116,3.7,1.3,4.25,4.35,4.5,34,11,5.8,NA
117,3.5,1.75,3.45,3.8,4.4,34,11,5.8,cat
118,3.15,2.6,3.15,3.5,3.7,13,10,3.2,other
119,3.85,3.5,3.65,3.4,4.1,27,12,5.8,dog
120,3.6,2.05,3.1,3.95,3.95,30,10,4.2,other
121,3.75,1.55,4.15,3.95,3,38,10,6.2,dog
122,2.65,2.6,2.8,4.05,3.4,26,17,1.2,other
123,3.05,3.25,3.55,3.55,3.95,24,27,3,dog
124,3.6,2.45,3.15,3.05,3.45,25,10,5.2,dog
125,3.75,2.2,3.05,4.05,4.2,37,10,5.8,other
126,3.35,2.45,3.5,3.7,3.95,42,15,5.4,cat
127,3.9,1.25,4.35,4.55,3.2,41,11,6,cat
128,3.45,1.85,3.8,3.95,3.7,38,10,3.2,other
129,3.4,3.55,3.25,3.15,4.9,26,19,3.2,dog
130,3,3.25,3.4,2.95,4.1,27,17,3.4,dog
131,4,1.55,2.85,3.95,4.05,21,10,4.2,dog
132,3.5,2.15,4.05,3.7,3.65,28,12,4.6,cat
133,3.05,2.95,3.1,3.1,3.1,31,10,5,dog
134,3.45,2.25,3.15,3.85,3.75,22,10,4.8,cat
135,3.6,2.4,3.6,3.8,3.85,33,19,6,other
136,3.85,1.85,3.3,4.2,4.05,36,11,5,other
137,3.35,1.55,4.15,4.15,4.2,39,10,6,dog
138,2.9,2.75,3.8,3.5,3.8,29,12,4.6,cat
139,3.75,2.7,3.95,4.1,4.1,36,11,3.6,dog
140,3.85,2.1,3.7,3.8,3.8,37,10,5.2,cat
141,3.6,2.15,3.6,3.5,3.8,17,11,4.6,dog
142,2.9,2,3.8,3.35,3,30,10,6,dog
143,2.8,1.35,4.6,4.75,3.35,37,10,6.8,dog
144,2.7,3.35,3,2.8,4.1,29,22,3.2,other
145,3.25,2.9,2.4,3.6,3.35,27,10,2.2,cat
146,3.65,1.55,3.75,1.7,3.15,36,11,4.6,cat
147,3.9,2.5,3.05,3.65,3.95,35,13,4.2,other
148,1.3,4.6,2.7,3.4,4,18,46,1,dog
149,3.7,2.1,3.3,4.1,3.65,18,10,6,cat
150,3.85,1.7,3.85,3.95,3.6,36,11,4.6,dog
151,2.95,2.85,3.2,4.25,3.7,29,12,5.2,other
152,4.3,2,4.15,4.6,3.35,40,11,5.6,cat
153,4.3,2,3.6,3.95,4.05,48,19,7,dog
154,2.7,2,3.7,4,3.4,38,10,6,dog
155,2.7,2.7,3.4,4.1,3.7,24,17,2.2,other
156,3.1,2.7,3.2,3.85,3.35,20,10,1.8,cat
157,3.7,2.95,1.8,4.35,4.75,27,11,2,cat
158,NA,2.05,3.9,3.95,4.45,41,13,6,cat
159,3.15,2.25,1.65,3.9,4.8,27,14,NA,dog
160,3.65,2.75,3.35,4.2,4.4,31,16,3.6,other
161,3.2,2.35,4.5,3.75,3.85,37,18,5.4,other
162,3.15,2.05,3.65,4.15,3.8,25,10,3.8,dog
163,3.05,2.35,3.8,3.35,4.15,28,13,4.6,cat
164,1.7,4,2.2,2.7,4.15,25,10,3,dog
165,2.75,1.25,3.65,3,3.15,27,10,6,other
166,3.7,3.6,3.75,3.55,4.85,35,19,4.8,cat
167,3.45,2.3,3.75,3.05,4,32,12,3.6,other
168,4.4,1.8,4.4,3.85,4.85,50,14,6.4,dog
169,4,1.95,3.05,4.15,4.45,41,25,5.6,NA
170,3.9,1.95,2.7,4.1,4.1,32,18,2.4,NA
171,4.1,2.6,4.05,3.8,3.95,40,11,7,dog
172,4.6,1.3,4.2,4.35,4.15,40,10,6,dog
173,3.45,2.45,3.55,3.65,3.85,12,10,5.8,other
174,4.35,1.15,4.9,NA,4.3,38,10,7,cat
175,3.2,2.25,3.65,3.1,4.35,36,10,3,cat
176,2.8,2.25,3.15,3.55,3.75,24,11,4.6,other
177,3.7,2.95,4.25,3.65,4.3,36,16,6.2,dog
178,4.35,3.9,4.6,3.65,4.25,30,16,5.4,cat
179,3.55,2.25,3.75,4.55,3.65,22,12,1,dog
180,3.15,3.55,3.7,4,4.4,23,25,4.6,other
181,4.05,2.2,3.65,4,3.5,36,13,6,cat
182,3.7,1.1,4.55,5,3.3,44,10,5.2,dog
183,4.25,2.65,3.75,3.1,3.65,43,23,5.6,dog
184,3.15,2.8,4,2.45,3.25,37,16,6,cat
185,3.2,1.75,3.55,4.6,4.15,29,10,6,other
186,4.3,1,4.6,4.7,4.55,50,10,4.4,dog
187,4.05,1.75,3.95,4,4.3,49,10,4.4,cat
188,3.95,3.5,4.05,3.85,3.2,35,15,1,cat
189,3.15,2.75,2.7,3.55,3.9,25,16,1.2,dog
190,4.3,1.5,4.2,4.4,4.1,40,10,5.4,dog
191,3.9,1.35,4.35,NA,4.35,28,11,4.2,other
192,NA,4,2.45,2.4,3.3,12,21,2.2,dog
193,4.45,1.05,4.8,5,4.7,48,10,6.8,cat
194,3.85,1.45,3.95,2.9,4.15,34,12,2.4,dog
195,3.8,2.1,4.45,2.95,3.55,38,10,7,other
196,4.75,1.15,4.45,4.4,5,50,10,6.4,cat
197,3.9,1.65,4.75,4,4.3,48,10,6.2,cat
198,4.15,2.85,3.65,3.85,4.6,35,11,4.8,dog
199,4.45,2.7,4.7,4.85,5,34,22,1.8,other
200,4,1.35,4.75,4.7,4.85,35,10,6.2,other
201,2.6,4.4,2.25,2.75,2.05,21,24,1,cat
202,4.05,2.75,2.4,NA,3.1,33,10,2.4,other
203,4.8,1.2,4.3,4.75,4.75,36,10,4.4,dog
204,4.3,2.2,3.85,4.75,4.8,49,10,6.2,dog
205,3.4,1.35,4.1,3.45,3.35,36,12,6.6,dog
