 1015  1 14 1.75 3.00 3.50 3.00 3.00 4.00 3.20 3.80 2.20 3.00 3.40 2.25 2.25 3.50 3.20 4.00 4.00 3.20 4.00 2.40 3.20 3.33 3.20 3.20 2.75 4.00 4.00 3.80 4.00 4.00 3.20 4.00 2.40 3.33 3.80 3.20 3.00 4.00 3.75 3.80 4.00 4.00 4.00 4.00 2.20 4.00 4.00 4.00 3.20
 1016  0 14 2.75 2.50 2.75 2.60 4.00 1.80 2.80 4.00 3.60 1.00 3.00 3.25 2.25 2.75 2.80 2.00 3.00 2.60 2.00 3.80 2.40 2.67 2.60 2.60 2.50 2.50 2.50 2.40 2.40 3.20 2.40 2.00 3.60 1.33 2.80 2.20 2.75 2.50 2.00 2.00 2.40 3.40 2.20 2.00 3.80 1.67 3.40 1.60 2.80
 1017  1 15 2.25 2.25 2.75 2.80 3.00 3.80 2.20 3.80 2.80 3.67 3.60 3.25 2.75 3.25 3.00 3.60 4.00 3.80 4.00 3.20 3.60 4.00 3.20 3.20 2.50 2.50 3.50 3.20 3.40 3.60 3.60 3.80 3.20 3.33 3.80 3.00 3.00 4.00 4.00 3.40 4.00 4.00 4.00 4.00 3.00 4.00 3.80 3.40 2.60
 1018  . 14 2.25 3.25 3.50 2.80 3.00 2.60 2.60 2.40 2.40 1.33 3.00  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1019  1 14 1.25 1.75 1.75 2.00 3.80 3.60 2.20 4.00 2.00 2.67 2.80  .    .    .    .    .    .    .    .    .    .    .    .    .   1.50 2.25 2.75 2.60 4.00 4.00 2.60 2.40 3.20 3.00 3.40 2.80 1.50 2.00 3.50 2.60 4.00 4.00 2.80 4.00 3.20 2.67 3.40 3.80 2.20
 1020  0 14 2.75 3.00 3.00 3.00 2.40 2.80 3.00 3.00 2.80 3.00 3.00 3.00 3.00 3.00 3.00 3.00 2.40 2.80 3.00 2.60 2.60 3.00 2.20 2.20 2.50 3.00 3.00 3.00 3.00 2.40 3.00 3.00 2.40 3.00 3.00 2.40  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1021  0 15 3.25 1.25 3.75 3.00 2.40 2.00 2.80 2.60 2.60 2.33 2.00  .    .    .    .    .    .    .    .    .    .    .    .    .   3.50 2.50 3.25 3.20 3.60 3.60 3.00 3.60 3.00 3.33 3.00 2.20 3.50 2.25 2.25 2.80 3.00 3.80 3.40 3.80 3.40 4.00 3.00 2.20 3.20
 1022  0 14 4.00 3.75 4.00 4.00 3.20 3.60 3.80 3.40 2.80 4.00 3.40 4.00 4.00 4.00 4.00 3.80 3.40 4.00 4.00 3.40 3.20 4.00 3.60 3.60 3.75 4.00 4.00 3.80 3.20 3.20 4.00 3.00 3.40 4.00 2.60 3.40 4.00 4.00 4.00 4.00 3.60 3.60 4.00 3.00 3.80 4.00 3.20 3.60 4.00
 1023  0 18 3.50 3.00 3.00 3.20 2.80 3.00 2.60 1.80 2.60 1.67 2.20 3.00 3.00 3.00 3.20 3.40 3.20 2.80 1.60 3.00 2.40 2.67 3.20 3.20 3.00 3.00 3.00 3.00 3.00 3.20 2.60 1.60 3.00 1.33 1.80 3.20 3.75 3.25 3.25 3.60 2.80 3.00 2.80 2.00 3.00 1.00 1.40 3.80 2.60
 1024  1 15 2.75 3.00 3.00 3.00 3.40 3.00 2.60 3.00 3.00 4.00 2.80  .    .    .    .    .    .    .    .    .    .    .    .   3.09  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
