E,A,C,N,O,Continent_Name,Country_Name
1.6,3.3,1.9,3.2,3.5,South America,"Brazil, Federative Republic of"
1.4,3.5,2.3,4.4,4.5,South America,"Argentina, Argentine Republic"
4.4,3.9,2.4,2.6,3.6,South America,"Brazil, Federative Republic of"
1.9,4.2,3.5,2.7,4.8,South America,"Venezuela, Bolivarian Republic of"
3.4,3.9,2.7,2.7,4.3,South America,"Colombia, Republic of"
2.2,2,3.3,4.3,5,South America,"Brazil, Federative Republic of"
2.8,4.6,2.8,4.9,3.5,South America,"Venezuela, Bolivarian Republic of"
2.2,3.2,2.8,3.3,3.5,South America,"Peru, Republic of"
2.7,2.7,3,2.9,2.8,South America,"Peru, Republic of"
3.3,3.8,3.4,3.8,4.3,South America,"Brazil, Federative Republic of"
3.4,3.7,3.5,3.8,3.5,South America,"Colombia, Republic of"
2.2,3.4,3.8,3.6,3.8,South America,"Brazil, Federative Republic of"
3.5,4.5,2.6,1.4,4.9,South America,"Colombia, Republic of"
1.8,4.5,2,3.7,2.8,South America,"Venezuela, Bolivarian Republic of"
3.4,3.7,3.8,2,4.6,South America,"Peru, Republic of"
2.5,3.6,3.9,2.2,3.8,South America,"Chile, Republic of"
2.4,4.1,1.9,3.9,5,South America,"Brazil, Federative Republic of"
2.8,3.9,3.8,3.6,5,South America,"Venezuela, Bolivarian Republic of"
1.9,3.4,3.6,3.9,4.3,South America,"Argentina, Argentine Republic"
1.5,4,3.2,4.8,3.1,South America,"Argentina, Argentine Republic"
2.1,3.4,3,2.7,4.5,South America,"Colombia, Republic of"
1.9,2.9,3.1,2.1,3.9,South America,"Venezuela, Bolivarian Republic of"
3.4,3.6,1.8,4.1,4.8,South America,"Venezuela, Bolivarian Republic of"
1.9,3.4,2.7,3.8,3.8,South America,"Venezuela, Bolivarian Republic of"
1.1,2.4,4.1,2.1,4.4,South America,"Brazil, Federative Republic of"
2.5,3,4,3.7,3.3,South America,"Brazil, Federative Republic of"
3.4,3.5,3.9,2.2,4,South America,"Brazil, Federative Republic of"
2.5,3.9,2.6,2.2,4.8,South America,"Brazil, Federative Republic of"
2.7,3.4,2.8,3.4,4.2,South America,"Chile, Republic of"
3.9,4.5,3.5,3.4,4.6,South America,"Brazil, Federative Republic of"
4.4,4,1.9,3.5,4.2,South America,"Argentina, Argentine Republic"
2.8,3.2,2.9,2.8,4.1,South America,"Colombia, Republic of"
1.3,1.8,3.7,2.6,4.7,South America,"Venezuela, Bolivarian Republic of"
2.3,3.8,4,3.1,4.3,South America,"Ecuador, Republic of"
1.7,4.5,2.5,2.9,5,South America,"Argentina, Argentine Republic"
2.9,3.3,3.1,3.9,4.3,South America,"Brazil, Federative Republic of"
1.5,2.3,3.5,4.2,4.3,South America,"Brazil, Federative Republic of"
1.3,3.9,2.4,3.9,4.3,South America,"Brazil, Federative Republic of"
2.5,3.8,3,2.7,4,South America,"Argentina, Argentine Republic"
2.6,3.3,2.9,3.8,3.2,South America,"Brazil, Federative Republic of"
2.8,3.4,2.6,3.5,3.9,South America,"Venezuela, Bolivarian Republic of"
2.9,4.6,4.2,2,4.4,South America,"Brazil, Federative Republic of"
2.1,3.9,3.1,3.3,3.9,South America,"Brazil, Federative Republic of"
2.6,4.4,1.8,3.6,4,South America,"Argentina, Argentine Republic"
3,4,3.8,3.2,3.4,South America,"Colombia, Republic of"
2,3.2,3.4,3,4,South America,"Brazil, Federative Republic of"
2.5,3.9,2.4,3.2,4.8,South America,"Brazil, Federative Republic of"
4.1,3.7,3.1,2.8,3.7,South America,"Argentina, Argentine Republic"
