country,nerdy_scale,continent,nerdy_selfreport,gender,voted
AU,2.961538462,Oceania,2,Male,2
AU,3.807692308,Oceania,5,Male,2
NZ,2.846153846,Oceania,2,Male,2
AU,3.384615385,Oceania,5,Male,1
AU,3.653846154,Oceania,7,Male,2
AU,3.538461538,Oceania,4,Male,1
NZ,1.653846154,Oceania,1,Male,2
AU,3.384615385,Oceania,4,Male,1
AU,4.153846154,Oceania,7,Male,1
AU,3.807692308,Oceania,5,Male,1
AU,3.653846154,Oceania,7,Male,1
NZ,4.038461538,Oceania,7,Male,2
AU,3.384615385,Oceania,6,Male,2
NZ,2.269230769,Oceania,5,Male,1
AU,2.615384615,Oceania,1,Male,2
AU,3.807692308,Oceania,4,Male,1
AU,3.692307692,Oceania,5,Male,1
NZ,3.230769231,Oceania,7,Male,1
NZ,3.923076923,Oceania,6,Male,2
AU,3.961538462,Oceania,5,Male,2
NZ,4.115384615,Oceania,6,Male,1
AU,3.923076923,Oceania,6,Male,2
NZ,2.807692308,Oceania,5,Male,1
AU,3.730769231,Oceania,6,Male,1
AU,3.923076923,Oceania,6,Male,1
AU,3.384615385,Oceania,6,Male,1
AU,3.923076923,Oceania,6,Male,2
AU,3.846153846,Oceania,5,Male,2
NZ,2.807692308,Oceania,3,Male,1
AU,4.115384615,Oceania,6,Male,1
AU,3.423076923,Oceania,6,Male,2
AU,3.923076923,Oceania,7,Male,1
NZ,4.769230769,Oceania,7,Male,2
AU,2.730769231,Oceania,4,Male,1
AU,3.807692308,Oceania,6,Male,1
AU,3.769230769,Oceania,6,Male,1
AU,3.807692308,Oceania,6,Male,2
AU,3.653846154,Oceania,6,Male,2
AU,3.576923077,Oceania,6,Male,2
AU,3.884615385,Oceania,7,Male,2
NZ,4.884615385,Oceania,7,Male,2
FM,3.884615385,Oceania,7,Male,2
AU,3.538461538,Oceania,5,Male,1
AU,3.423076923,Oceania,4,Male,1
NZ,3.653846154,Oceania,6,Male,2
AU,3.538461538,Oceania,6,Male,1
NZ,3.769230769,Oceania,6,Male,2
AU,2.807692308,Oceania,5,Male,1
AU,3.692307692,Oceania,6,Male,2
AU,3.923076923,Oceania,5,Male,1
PG,4.269230769,Oceania,5,Male,1
AU,2.653846154,Oceania,5,Male,2
NZ,4,Oceania,6,Male,2
AU,3.5,Oceania,5,Male,1
AU,2.576923077,Oceania,3,Male,1
NZ,3.307692308,Oceania,5,Male,1
AU,3.923076923,Oceania,6,Male,2
AU,4.384615385,Oceania,6,Male,2
AU,4.5,Oceania,7,Male,2
AU,4,Oceania,4,Male,1
AU,4.423076923,Oceania,6,Male,1
AU,3.923076923,Oceania,6,Male,1
AU,4.576923077,Oceania,7,Male,2
NZ,3.5,Oceania,7,Male,2
AU,2.884615385,Oceania,5,Male,2
AU,4.153846154,Oceania,6,Male,1
AU,3.807692308,Oceania,6,Male,2
AU,3.692307692,Oceania,7,Male,2
AU,3.576923077,Oceania,6,Male,1
AU,3.923076923,Oceania,6,Male,1
NZ,3.307692308,Oceania,7,Female,2
AU,4.269230769,Oceania,7,Female,2
AU,3.653846154,Oceania,6,Female,2
AU,3.461538462,Oceania,3,Female,2
AU,3.961538462,Oceania,7,Female,1
AU,4.692307692,Oceania,7,Female,1
AU,3.461538462,Oceania,5,Female,1
NZ,4.192307692,Oceania,6,Female,2
AU,3.961538462,Oceania,7,Female,2
NZ,2.230769231,Oceania,4,Female,1
AU,3.461538462,Oceania,5,Female,1
AU,3.730769231,Oceania,5,Female,0
AU,3.538461538,Oceania,5,Female,1
NZ,2.807692308,Oceania,5,Female,2
NZ,2.884615385,Oceania,3,Female,2
AU,3.692307692,Oceania,6,Female,2
AU,2.692307692,Oceania,2,Female,2
AU,2.961538462,Oceania,5,Female,2
AU,3.461538462,Oceania,6,Female,1
NZ,3.807692308,Oceania,5,Female,2
AU,3.230769231,Oceania,4,Female,2
AU,3.115384615,Oceania,5,Female,2
AU,3.576923077,Oceania,6,Female,1
AU,3.5,Oceania,5,Female,1
AU,3.923076923,Oceania,7,Female,2
AU,3.153846154,Oceania,7,Female,2
AU,4.384615385,Oceania,7,Female,2
NZ,4.269230769,Oceania,7,Female,2
AU,3.769230769,Oceania,7,Female,2
NZ,3.346153846,Oceania,6,Female,2
NZ,3.692307692,Oceania,7,Female,2
AU,4.192307692,Oceania,6,Female,2
AU,4.192307692,Oceania,6,Female,2
AU,3.923076923,Oceania,4,Female,1
AU,3.5,Oceania,6,Female,1
AU,3.538461538,Oceania,6,Female,2
GU,3.576923077,Oceania,7,Female,2
NZ,3.846153846,Oceania,7,Female,1
NZ,4.076923077,Oceania,6,Female,2
AU,3.615384615,Oceania,6,Female,1
NZ,3.5,Oceania,6,Female,2
AU,4.076923077,Oceania,4,Female,2
AU,4.307692308,Oceania,7,Female,2
AU,1.884615385,Oceania,6,Female,2
AU,4.730769231,Oceania,7,Female,2
NZ,2.961538462,Oceania,5,Female,2
AU,3.384615385,Oceania,7,Female,2
AU,3.038461538,Oceania,6,Female,2
AU,4.115384615,Oceania,5,Female,2
NZ,4.115384615,Oceania,6,Female,2
NZ,3.769230769,Oceania,7,Female,1
AU,3.192307692,Oceania,4,Female,2
AU,3.884615385,Oceania,7,Female,2
AU,3.307692308,Oceania,4,Female,1
AU,3.461538462,Oceania,5,Female,1
AU,3.230769231,Oceania,5,Female,2
AU,3.538461538,Oceania,4,Female,1
NZ,4,Oceania,6,Female,2
AU,3.423076923,Oceania,6,Female,1
AU,4.076923077,Oceania,4,Female,2
AU,3.346153846,Oceania,5,Female,1
AU,3.538461538,Oceania,6,Female,1
NZ,4.192307692,Oceania,7,Female,2
AU,3.692307692,Oceania,3,Female,2
AU,3.538461538,Oceania,5,Female,2
NZ,4.346153846,Oceania,7,Female,1
AU,4.461538462,Oceania,7,Female,1
AU,4,Oceania,5,Female,2
NZ,3.730769231,Oceania,6,Female,2
AU,3.884615385,Oceania,5,Female,2
NZ,3.692307692,Oceania,5,Female,1
NZ,2.884615385,Oceania,2,Female,2
NZ,3.153846154,Oceania,6,Female,2
NZ,2.576923077,Oceania,4,Female,2
NZ,3.615384615,Oceania,6,Female,2
AU,4.269230769,Oceania,7,Female,2
AU,4,Oceania,6,Female,2
AU,3.307692308,Oceania,5,Female,1
AU,3.538461538,Oceania,7,Female,2
AU,2.461538462,Oceania,5,Female,2
AU,4.076923077,Oceania,6,Female,2
NZ,4.692307692,Oceania,7,Female,2
AU,4.115384615,Oceania,7,Female,2
NZ,3.769230769,Oceania,5,Female,2
AU,3.192307692,Oceania,6,Female,1
AU,3.153846154,Oceania,6,Female,2
AU,3.923076923,Oceania,6,Female,2
AU,3.769230769,Oceania,7,Female,2
AU,4.153846154,Oceania,5,Female,1
AU,3.076923077,Oceania,6,Female,2
AU,4.307692308,Oceania,5,Female,1
MP,4,Oceania,5,Female,1
AU,3.846153846,Oceania,6,Female,2
NZ,3.961538462,Oceania,6,Female,2
AU,3.692307692,Oceania,5,Female,2
AU,3,Oceania,5,Female,2
AU,4.230769231,Oceania,6,Female,2
AU,4.153846154,Oceania,7,Female,2
AU,4.192307692,Oceania,7,Female,2
NZ,3.884615385,Oceania,5,Female,2
